Query	MUrl	PUrl	Fidelity_Control	Fidelity_Treatment	InL1WithoutSpaceV	Experiment_InL1WithoutSpaceV
Alpina Farbenfreude Eisbärweiß gestrichen Zimmer	https://www.alpina-farben.at/fileadmin/InterfaceAssets/alpina_at/misc_image/AF018623_11_Schlafzimmer_Schrank_Alpinaweiss_016.jpg	https://www.alpina-farben.at/produkt/alpinaweiss-das-original-spritzfrei/	0	0.5	False	True
bustling street Tokyo picture	https://img.freepik.com/premium-photo/bustling-street-scene-tokyo-japan-featuring-crowd-people-walking-past-shops-res_924727-79666.jpg	https://www.freepik.com/premium-ai-image/bustling-street-scene-tokyo-japan-featuring-crowd-people-walking-past-shops-res_288195671.htm	0.4	0.76	True	True
bustling street Tokyo picture	https://images.pexels.com/photos/29761018/pexels-photo-29761018/free-photo-of-bustling-tokyo-street-scene-in-autumn.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1	https://www.pexels.com/photo/bustling-tokyo-street-scene-in-autumn-29761018/	0.4	0.76	False	True
bustling street Tokyo picture	https://c8.alamy.com/comp/2RK528P/a-bustling-street-scene-filled-with-people-night-time-in-shinjuku-district-tokyo-japan-2RK528P.jpg	https://www.alamy.com/a-bustling-street-scene-filled-with-people-night-time-in-shinjuku-district-tokyo-japan-image562521814.html	0.4	0.76	True	True
bustling street Tokyo picture	https://images.pexels.com/photos/31037752/pexels-photo-31037752/free-photo-of-bustling-tokyo-street-with-neon-signs-and-crowds.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1	https://www.pexels.com/photo/bustling-tokyo-street-with-neon-signs-and-crowds-31037752/	0.4	0.76	False	True
bustling street Tokyo picture	https://images.pexels.com/photos/31025549/pexels-photo-31025549/free-photo-of-bustling-shopping-street-in-shibuya-tokyo.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1	https://www.pexels.com/photo/bustling-shopping-street-in-shibuya-tokyo-31025549/	0.4	0.76	False	True
bustling street Tokyo picture	https://images.pexels.com/photos/30950605/pexels-photo-30950605/free-photo-of-bustling-tokyo-street-crosswalk-at-dusk.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2	https://www.pexels.com/photo/bustling-tokyo-street-crosswalk-at-dusk-30950605/	0.4	0.76	False	True
bustling street Tokyo picture	https://img.freepik.com/premium-photo/bustling-street-scene-tokyo-japan-featuring-crowd-people-walking-past-shops-res_924727-79666.jpg?w=2000	https://www.freepik.com/premium-ai-image/bustling-street-scene-tokyo-japan-featuring-crowd-people-walking-past-shops-res_288195671.htm	0.4	0.76	True	True
bustling street Tokyo picture	https://img.freepik.com/premium-photo/bustling-streets-shibuya-tokyo-urban-scene_1130573-5100.jpg?w=996	https://www.freepik.com/premium-ai-image/bustling-streets-shibuya-tokyo-urban-scene_139233434.htm	0.4	0.76	False	True
bustling street Tokyo picture	https://img.freepik.com/premium-photo/bustling-streets-shibuya-tokyo-urban-scene_1130573-5100.jpg	https://www.freepik.com/premium-ai-image/bustling-streets-shibuya-tokyo-urban-scene_139233434.htm	0.4	0.76	True	True
