Query	MUrl	PUrl	Fidelity_Control	Fidelity_Treatment	InL1WithoutSpaceV	Experiment_InL1WithoutSpaceV
bab 3 pengolahan data kuantitatif	https://d20ohkaloyme4g.cloudfront.net/img/document_thumbnails/ed023ce7c2a348cc78c76deef4261078/thumb_1200_1696.png	https://www.studocu.com/id/document/sekolah-tinggi-teknologi-muhammadiyah-cileungsi/teknik-industri/bab-3-pengolahan-data/97959485	0.5	1	True	True
bab 3 pengolahan data kuantitatif	https://imgv2-2-f.scribdassets.com/img/document/683701039/original/9f429d81ae/1?v=1	https://id.scribd.com/document/683701039/Bab-3-Pengolahan-dan-Analisis-Data-Akhir	0.5	1	False	True
bicycle japan black green playing cards	https://cdn.store-assets.com/s/143050/i/23183292.jpg?width=1024	https://games4youuu.com/products/bicycle-japan-green-playing-cards	0.333333343	0.7777778	True	True
bicycle japan black green playing cards	https://runitdecks.com/cdn/shop/products/li73.jpg?v=1657687180	https://runitdecks.com/products/bicycle-japan-green-playing-cards	0.333333343	0.7777778	False	True
bicycle japan black green playing cards	https://cdn.store-assets.com/s/143050/i/23183290.jpg?width=1024	https://games4youuu.com/products/bicycle-japan-green-playing-cards	0.333333343	0.7777778	True	True
bicycle japan black green playing cards	https://cdn.store-assets.com/s/143050/i/23183288.jpg?width=1024	https://games4youuu.com/products/bicycle-japan-green-playing-cards	0.333333343	0.7777778	True	True
bicycle japan black green playing cards	https://runitdecks.com/cdn/shop/products/JAPAN-GREEN.jpg?v=1657687180	https://runitdecks.com/products/bicycle-japan-green-playing-cards	0.333333343	0.7777778	False	True
bicycle japan black green playing cards	https://runitdecks.com/cdn/shop/products/JAPAN-GREEN.jpg?v=1657687180	https://runitdecks.com/products/bicycle-japan-green-playing-cards	0.333333343	0.7777778	False	True
bicycle japan black green playing cards	https://runitdecks.com/cdn/shop/products/li73-2.jpg?v=1657687180	https://runitdecks.com/products/bicycle-japan-green-playing-cards	0.333333343	0.7777778	False	True
bicycle japan black green playing cards	https://runitdecks.com/cdn/shop/products/JAPAN-GREEN.jpg?v=1657687180&width=1500	https://runitdecks.com/products/bicycle-japan-green-playing-cards	0.333333343	0.7777778	False	True
bicycle japan black green playing cards	https://runitdecks.com/cdn/shop/products/JAPAN-GREEN.jpg?v=1657687180&width=1500	https://runitdecks.com/products/bicycle-japan-green-playing-cards	0.333333343	0.7777778	False	True
bicycle japan black green playing cards	https://runitdecks.com/cdn/shop/products/JAPAN-GREEN.jpg?v=1657687180&width=1080	https://runitdecks.com/products/bicycle-japan-green-playing-cards	0.333333343	0.7777778	False	True
bicycle japan black green playing cards	https://runitdecks.com/cdn/shop/products/JAPAN-GREEN.jpg?v=1657687180&width=1080	https://runitdecks.com/products/bicycle-japan-green-playing-cards	0.333333343	0.7777778	False	True
bicycle japan black green playing cards	http://collectibleplayingcards.com/cdn/shop/products/blackgreen1.jpg?crop=center&height=1200&v=1708026661&width=1200	https://collectibleplayingcards.com/products/bicycle-japan-black-green-playing-cards	0.333333343	0.7777778	True	True
bicycle japan black green playing cards	http://runitdecks.com/cdn/shop/products/JAPAN-GREEN.jpg?v=1657687180	https://runitdecks.com/products/bicycle-japan-green-playing-cards	0.333333343	0.7777778	True	True
bicycle japan black green playing cards	http://runitdecks.com/cdn/shop/products/JAPAN-GREEN.jpg?v=1657687180	https://runitdecks.com/products/bicycle-japan-green-playing-cards	0.333333343	0.7777778	True	True
fondo de fotografía pintado a mano decoración de textura floral abstracta flor de primavera boda telón de fondo de maternidad estudio de cumpleaños	https://m.media-amazon.com/images/I/81u1qTv9nlL._AC_.jpg	https://www.amazon.es/Mehofoto-fotográfico-romántico-decoración-fotografía/dp/B07DHN1LS6	0.121212125	0.6363636	True	True
fondo de fotografía pintado a mano decoración de textura floral abstracta flor de primavera boda telón de fondo de maternidad estudio de cumpleaños	https://img.freepik.com/fotos-premium/fondo-textura-flor-abstracta_828075-2316.jpg?w=900	https://www.freepik.es/fotos-premium/fondo-textura-flor-abstracta_42058497.htm	0.121212125	0.6363636	False	True
fondo de fotografía pintado a mano decoración de textura floral abstracta flor de primavera boda telón de fondo de maternidad estudio de cumpleaños	https://img.freepik.com/fotos-premium/fondo-textura-flor-abstracta_828075-2316.jpg?w=740	https://www.freepik.es/fotos-premium/fondo-textura-flor-abstracta_42058497.htm	0.121212125	0.6363636	False	True
fondo de fotografía pintado a mano decoración de textura floral abstracta flor de primavera boda telón de fondo de maternidad estudio de cumpleaños	https://img.freepik.com/fotos-premium/pintura-diseno-flor-rosa-acuarela-abstracta_53876-155811.jpg	https://www.freepik.es/fotos/fondo-floral-pintado-mano	0.121212125	0.6363636	True	False
fondo de fotografía pintado a mano decoración de textura floral abstracta flor de primavera boda telón de fondo de maternidad estudio de cumpleaños	https://img.freepik.com/fotos-premium/fondo-textura-flor-abstracta_828075-2316.jpg?w=2000	https://www.freepik.es/fotos-premium/fondo-textura-flor-abstracta_42058497.htm	0.121212125	0.6363636	False	True
fondo de fotografía pintado a mano decoración de textura floral abstracta flor de primavera boda telón de fondo de maternidad estudio de cumpleaños	https://img.freepik.com/fotos-premium/fondo-textura-flor-abstracta_828075-2276.jpg?w=2000	https://www.freepik.es/fotos-premium/fondo-textura-flor-abstracta_42058446.htm	0.121212125	0.6363636	False	True
fondo de fotografía pintado a mano decoración de textura floral abstracta flor de primavera boda telón de fondo de maternidad estudio de cumpleaños	https://m.media-amazon.com/images/I/71ahudcIrAL._AC_.jpg	https://www.amazon.com/-/es/fotografía-despedida-ceremonia-cumpleaños-decoración/dp/B0BH8HQ2CY	0.121212125	0.6363636	True	True
fondo de fotografía pintado a mano decoración de textura floral abstracta flor de primavera boda telón de fondo de maternidad estudio de cumpleaños	https://img.freepik.com/fotos-premium/fondo-textura-flor-abstracta_828075-2325.jpg?w=2000	https://www.freepik.es/fotos-premium/fondo-textura-flor-abstracta_42058508.htm	0.121212125	0.6363636	False	True
